id,name,parking,reserved,fee,latitude,longitude
13426,purvis ramco minit mart,150,False,False,31.154065,-89.413922
13427,red banks bp joes travel center,5,False,False,34.828499,-89.566013
13428,richland cefco,25,False,False,32.20907,-90.149463
13429,roxie roxie truck stop,0,False,False,31.513392,-91.081071
13430,saltillo dixons travel center,3,False,False,34.368459,-88.700068
13431,saltillo t-mart texaco,5,False,False,34.316196,-88.695293
13432,scooba scooba junction b.p.,3,False,False,32.831261,-88.463705
13433,senatobia snappy mart,25,False,False,34.618614,-89.9532
13434,senatobia the pantry kangaroo express,0,False,False,34.619568,-89.95356
13435,sherman wild bills,87,False,False,34.357404,-88.841098
13436,stonewall cefco,10,False,False,32.133498,-88.782175
13437,stringer red apple,60,False,False,31.868355,-89.26768
13438,terry cefco,100,False,False,32.133861,-90.287747
13439,tillatoba griffis all american truck stop,0,False,False,33.9858226,-89.866554
13440,toomsuba loves travel stop,50,False,False,32.41107,-88.505495
13441,tunica tunica travel center,68,False,False,34.689946,-90.376281
13442,tupelo express travel center,3,False,False,34.31012,-88.78362
13443,tupelo loves travel stop,35,False,False,34.31464,-88.78994
13444,tupelo shell,0,False,False,34.236109,-88.704475
13445,tupelo sprint mart,8,False,False,34.28856,-88.675949
13446,tylertown super 98 car and truck stop,15,False,False,31.131179,-90.147859
13447,union spankys,80,False,False,32.572955,-89.103208
13448,union union junction,2,False,False,32.57309,-89.102972
13449,vicksburg delta discount,0,False,False,32.315658,-90.960553
13450,vicksburg kangaroo express,20,False,False,32.352385,-90.828148
13451,water valley exxon gas mart,18,False,False,34.133669,-89.649615
13452,wesson country junction truck stop,25,False,False,31.7347,-90.445933
13453,west west truck stop,40,False,False,33.203363,-89.828655
13454,west point fast break west point,25,False,False,33.591771,-88.659082
13455,west point handy mart b.p.,40,False,False,33.628172,-88.658321
13456,west point loves travel stop,100,False,False,33.584682,-88.658443
13457,west point soco truck stop,100,False,False,33.633957,-88.660205
13458,west point soco truck stop,0,False,False,33.63407516,-88.65979767
13459,wiggins kangaroo express,50,False,False,30.827186,-89.13576
13460,winona pilot travel center,210,True,False,33.4859,-89.7706
