id,name,parking,reserved,fee,latitude,longitude,type
1581,mediapolis mediapolis fast break,10,False,False,41.007544,-91.170623,1
1582,melbourne randhawas travel center,72,False,False,41.954,-93.100998,1
1583,minden caseys,5,False,False,41.495723,-95.546599,0
1584,missouri valley taylor quik pik,7,False,False,41.550683,-95.912945,1
1585,monona kwik star,3,False,False,43.0397635,-91.391133,0
1586,monroe caseys general store,5,False,False,41.509818,-93.099904,0
1587,monticello bp,3,False,False,42.209943,-91.19109,0
1588,montrose b and b express,6,False,False,40.552026,-91.430025,1
1589,mt pleasant pilot travel center,80,False,False,40.979979,-91.539398,1
1590,muscatine a and e conveniece,0,False,False,41.3743,-91.1266,0
1591,muscatine fast break,35,False,False,41.3902679,-91.0741388,1
1592,muscatine shell express mart,0,False,False,41.370532,-91.128973,0
1593,neola kum and go,5,False,False,41.438785,-95.612903,0
1594,new hampton mk fuel time,20,False,False,43.06752,-92.328506,1
1595,new virginia kum and go,5,False,False,41.177382,-93.781313,0
1596,newton loves travel stop,2,False,False,41.680428,-92.999058,0
1597,north liberty l diesel,80,False,False,41.752213,-91.609978,1
1598,northwood the jo stop,0,False,False,43.445885,-93.353662,0
1599,oelwein kwik star,6,False,False,42.678014,-91.912592,1
1600,onawa onawa 66 k c mart,20,False,False,42.02781,-96.124722,1
1601,osceola caseys general store,60,False,False,41.027005,-93.790219,1
1602,osceola caseys general store,5,False,False,41.02736,-93.787869,0
1603,osceola osceola travel plaza,40,False,False,41.025264,-93.797439,1
1604,osceola pilot travel center,50,False,False,41.040731,-93.794587,1
1605,oskaloosa kum and go,70,False,False,41.279572,-92.62217,1
1606,ottumwa hwy 63 south bp,25,False,False,40.942953,-92.408688,1
1607,ottumwa yesway 1030,20,False,False,40.994767,-92.40546,1
1608,pella caseys general store,25,False,False,41.394235,-92.911452,1
1609,peosta hwy 20 autotruck plaza,8,False,False,42.44178,-90.784039,1
1610,percival pilot travel center,15,False,False,40.690536,-95.791534,1
1611,percival sapp bros travel center,3,False,False,40.689906,-95.791496,0
